text,coding,round,recipient,sender.id,sender.name,treatment,direction,gameID,guess.x,confidence.x,nRabbits.x,nSquirrels.x,nCritters.x,mleEstimate.x,nSquirrelsGame.x,nRabbitsGame.x,mleGame.x,entropy.x,representation.x,designatedGame.x,entropy_bin.x,representation_bin.x,nCrittersGame_bin.x,error.x,guess.y,confidence.y,nRabbits.y,nSquirrels.y,nCritters.y,mleEstimate.y,nSquirrelsGame.y,nRabbitsGame.y,mleGame.y,entropy.y,representation.y,designatedGame.y,entropy_bin.y,representation_bin.y,nCrittersGame_bin.y,error.y
I have 4 rabbits and 2 squirrels,pn,1,01JD3D496FNA350BWA3FCJ0N36,01JD3EGZPD31C9A16V15AVCABM,player 3,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,24,52,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",1.92999999999999,24,52,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",1.92999999999999
The pecentage of rabbits is 80%,pb,1,01JD3EJZ1BXTKMC13K0W9WN5X2,01JD3EGVEHDS80WTGTWGYTMD75,player 2,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,20,100,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",5.92999999999999,20,100,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",5.92999999999999
3:5 squirrel to rabbit,pn,2,01JD3EGZPD31C9A16V15AVCABM,01JD3EJZ1BXTKMC13K0W9WN5X2,player 4,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,29,58,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",3.07000000000001,29,58,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",3.07000000000001
The ratio is unchanged.,o,2,01JD3D496FNA350BWA3FCJ0N36,01JD3EGVEHDS80WTGTWGYTMD75,player 2,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,20,100,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",5.92999999999999,20,100,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",5.92999999999999
i have 6 rabbits and 1 squirrel,pn,2,01JD3EJZ1BXTKMC13K0W9WN5X2,01JD3D496FNA350BWA3FCJ0N36,player 1,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,NA,NA,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",NA,NA,NA,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",NA
I cannot see my photo,o,3,01JD3EJZ1BXTKMC13K0W9WN5X2,01JD3EGZPD31C9A16V15AVCABM,player 3,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,47,55,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",21.07,47,55,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",21.07
unchanged,o,3,01JD3EGVEHDS80WTGTWGYTMD75,01JD3D496FNA350BWA3FCJ0N36,player 1,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,NA,NA,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",NA,NA,NA,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",NA
I had 3 squirrels and 5 rabbits,pn,3,01JD3D496FNA350BWA3FCJ0N36,01JD3EJZ1BXTKMC13K0W9WN5X2,player 4,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,25,56,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",0.929999999999993,25,56,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",0.929999999999993
How many rabbits can you see?,q,3,01JD3EGZPD31C9A16V15AVCABM,01JD3EGVEHDS80WTGTWGYTMD75,player 2,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,20,90,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",5.92999999999999,20,90,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",5.92999999999999
4 Rabbits and 2 Squirrels,pn,4,01JD3D496FNA350BWA3FCJ0N36,01JD3EGZPD31C9A16V15AVCABM,player 3,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,75,34,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",49.07,75,34,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",49.07
